Timestamp,Spin,Estrategia_Indicada,Stake,Momento,Resultado_R$,Banca_Atual,VIX_Atual
2026-06-20T00:01:42.439Z,34,CROSS_GRID_HEDGE,4,ENTRAR,2.00,102.00,93.1
2026-06-20T00:01:49.027Z,0,CROSS_GRID_HEDGE,10.200000000000001,ENTRAR,-10.20,91.80,92.1
2026-06-20T00:01:51.692Z,17,CROSS_GRID_HEDGE,23,ENTRAR,11.50,103.30,93.6
2026-06-20T00:01:56.948Z,6,CROSS_GRID_HEDGE,6.6000000000000005,ENTRAR,-6.60,96.70,92.5
2026-06-20T00:02:04.008Z,29,CROSS_GRID_HEDGE,11.8,ENTRAR,5.90,102.60,92.9
2026-06-20T00:02:15.984Z,27,CROSS_GRID_HEDGE,19.6,ENTRAR,9.80,112.40,95.0
---,---,---,SESSÃO ENCERRADA,---,MOTIVO:,TAKE_PROFIT_TRIGGERED,---
